PC1,cluster
0.1222875220471259,2
-0.7718206920965601,0
-0.6032828943971313,3
-0.6323034669054326,3
0.0050444766726974,2
-0.7570428467707772,0
-0.5865015063266467,3
-0.6289402810764849,3
0.0050558313168987,2
-0.4439464395709486,3
-0.38515050844864,5
-1.00280286856815,0
-0.8948419357321927,0
-0.3323066465402973,5
-0.2015463961196829,5
-0.5472343767760979,3
0.1655554821586511,2
-0.5429150136890182,3
0.1344076850949628,2
-0.7617473928539424,0
-0.6095615643860199,3
-0.6284358717228934,3
-0.0024531905189648,2
-0.4625355520561242,3
-0.3822741356450929,5
-1.0011254467388293,0
-0.883679054747665,0
-0.3443287855535069,5
-0.2024918593485686,5
-0.382952051172617,5
-0.2014616320732509,5
-0.5634086436759654,3
0.1613666589860156,2
-1.0044805806064094,0
-0.8878987008737023,0
-0.7501297930863746,0
-0.580566326106706,3
-0.6452897713666914,3
-0.0051228905556781,2
-0.4580496496543618,3
-0.3886190939817404,5
-1.0014821858206022,0
-0.8851151206154582,0
-0.3640900111407672,5
-0.1972898999807676,5
-0.5479190872613013,3
0.1569277633010823,2
-0.7527978174451004,0
-0.5775767087237473,3
-0.634946900137255,3
0.0284384241583458,2
-0.4618457781264422,3
-0.3699363350244465,5
-0.7578691934407665,0
-0.5756234210513009,3
-0.6237338563012627,3
0.043182386527145,2
-0.4589392756563589,3
-0.3508811195352908,5
-1.0047280230765554,0
-0.8925751400551585,0
-0.3523420829734006,5
-0.1366953926282333,5
-0.5630532278451653,3
0.139245630435203,2
-1.0096318880272552,0
-0.8920052778667971,0
-0.357463576589852,5
-0.2010916542646504,5
-0.5621153810301504,3
0.1020821287154873,2
-0.7700400446458412,0
-0.5995411166282493,3
-0.6453575272472057,3
-0.020557212340394,2
-0.4733110275181048,3
-0.3937559588181804,5
-0.557496525214127,3
0.1377368698882876,2
-0.7660955669141193,0
-0.5731433031600403,3
-0.6369051591117506,3
0.0070217800784929,2
-0.4677528469741249,3
-0.3607572157141248,5
-1.007146991478023,0
-0.8820228340862699,0
-0.3555272761242666,5
-0.1802358733952918,5
-0.7566574976023184,0
-0.5722501614199557,3
-0.6389858589716543,3
0.028803956664437,2
-0.4881538332594557,3
-0.4060671507662529,5
-1.0074250626523318,0
-0.8909819337443241,0
-0.3748306603177719,5
-0.2112002921836021,5
-0.5712409020164914,3
0.1056278939919985,2
-1.011608308423677,0
-0.8886592746617812,0
-0.752316026402015,0
-0.5771426537857973,3
-0.6364483698944395,3
-0.0213985594805904,2
-0.4592817245767415,3
